WorkerID,NameAndSurname,Gender,PESEL,JobTitle,RatingsOfWorkerCategory,isCurrent
1,Matthew Banks,Male,00013426264,Counselor,Fair,True
2,Debra Martin,Male,00185320008,Personal Trainer,Great,True
3,Christopher Chandler,Male,00200627833,Personal Trainer,Fair,True
4,Charles Boyle,Male,00228378419,Dentist,Fair,True
5,Christopher White,Male,00295458252,Therapist,Good,True
6,Ariana Harrison,Male,00356328338,Counselor,Good,True
7,Scott Robinson,Female,00563804294,Counselor,Good,True
8,Jason Shelton,Male,00628028084,Personal Trainer,Awesome,True
9,Erin Thomas,Male,00633263970,Tutor,Great,True
10,Craig Liu,Male,00825869277,Beautician,Fair,True
11,Gary Bush,Female,00904210665,Cleaner,Fair,True
12,Daniel Torres,Male,01315123446,Aesthetician,Great,True
13,Rodney Flores,Female,01442835683,Tutor,Good,True
14,Sean Andrews,Male,01481113275,Aesthetician,Great,True
15,Peggy Thompson,Male,01549393245,Therapist,Good,True
16,Mark Garcia,Male,01614084051,Beautician,Good,True
17,Donald Watts,Female,01827746361,Beautician,Great,True
18,Douglas Boyd,Female,01919992435,Therapist,Awesome,True
19,Jose Cox,Female,02065005268,Barber,Good,True
20,Henry Martinez,Female,02371685642,Beautician,Fair,True
21,Leslie Williams,Male,02383551550,Dentist,Good,True
22,Mallory Foster,Male,02404011137,Aesthetician,Great,True
23,Michelle Simmons,Male,02481024563,Photographer,Great,True
24,Jonathan Rivers,Female,02586131049,Tutor,Good,True
25,Ebony Flores,Male,02606221500,Aesthetician,Good,True
26,Mary Chung,Male,02736930381,Barber,Fair,True
27,Russell Bautista,Male,02989076052,Dentist,Good,True
28,Kristina Mckinney,Female,02996051292,Tutor,Good,True
29,Carl Vincent,Female,03342906356,Beautician,Poor,True
30,Mark Dalton,Male,03410370462,Dentist,Good,True
31,Jeffrey Mcneil,Female,03461240793,Tutor,Poor,True
32,Michael Banks,Female,03842043759,Cleaner,Great,True
33,John Rodriguez,Male,03885107003,Beautician,Good,True
34,Joshua Henderson,Male,03892026733,Aesthetician,Poor,True
35,Melinda Wood,Female,03963631897,Photographer,Great,True
36,Dana Christian,Male,04097276483,Beautician,Poor,True
37,Jonathan Robinson,Male,04099044762,Dentist,Good,True
38,David Castillo,Male,04146123457,Counselor,Good,True
39,Nicholas Blake,Female,04153502498,Barber,Great,True
40,Mary Jones,Male,04162012033,Counselor,Great,True
41,Michael Tran,Female,04169973712,Beautician,Good,True
42,Jamie Lee,Male,04207075671,Personal Trainer,Good,True
43,Michelle Mccullough,Female,04415629755,Beautician,Fair,True
44,Jonathan Ward,Male,04456792999,Dentist,Good,True
45,Melissa Hill,Female,04484638297,Cleaner,Good,True
